id,prompt,correct_answer_text,domain_name,domain_keywords
773,What are the two main interpretations for the disparity between the presence of matter and antimatter in the observable universe?,"The universe began with a small preference for matter, or it was originally perfectly symmetric, but a set of phenomena contributed to a small imbalance in favor of matter over time.",Cosmology,matter-antimatter asymmetry; baryogenesis; primordial symmetry; cosmological evolution
774,"Pick the best possible answer: Which hand should be used to apply the right-hand rule when tightening or loosening nuts, screws, bolts, bottle caps, and jar lids?",The right hand,Mechanical Engineering,right-hand rule; torque application; mechanical fasteners; rotational mechanics
775,Select the most accurate option: What is the Erlangen program? carefully.,"The Erlangen program is a procedure of characterizing geometries based on group principle and projective geometry, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.",Geometry Theory,Erlangen program; group principle; projective geometry; Felix Klein
776,Pick the best possible answer: What is water hammer? carefully.,"Water hammer is a loud banging noise resembling a hammering sound that occurs when moving water is suddenly stopped, causing a rise in pressure and resulting shock wave.",Fluid Dynamics,water hammer; pressure surge; shock wave; hydraulic transients
777,"Choose the correct answer: What is the meaning of the term ""horror vacui""? from the following choices.",The commonly held view that nature abhorred a vacuum.,Philosophy Of Science,horror vacui; Cartesian metaphysics; vacuum theory; spatial-corporeal component
778,What is the Ramsauer-Townsend effect?,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of low-energy electrons by atoms of a noble gas. It requires the wave theory of quantum mechanics to be explained.,Quantum Mechanics,Ramsauer-Townsend effect; electron scattering; wave theory; noble gas interaction
779,Choose the correct answer: What is Lorentz symmetry or Lorentz invariance in relativistic physics? from the following choices.,Lorentz symmetry or Lorentz invariance is an equivalence of observation or observational symmetry due to special relativity implying that the laws of physics stay the same for all observers that are moving with respect to one another within an inertial frame.,Theoretical Physics,Lorentz invariance; spacetime manifold; Lorentz group; boost velocity; special relativity
780,What is spontaneous symmetry breaking?,"Spontaneous symmetry breaking occurs when the action of a theory has a symmetry, but the vacuum state violates this symmetry. In that case, there will exist a local operator that is non-invariant under the symmetry, giving it a nonzero vacuum expectation value.",Theoretical Physics,spontaneous symmetry breaking; vacuum expectation value; local operator; gauge symmetry; quantum field theory
781,Which of the following is correct? What is Lorentz symmetry or Lorentz invariance in relativistic physics? among the listed options.,Lorentz symmetry or Lorentz invariance is an equivalence of observation or observational symmetry due to special relativity implying that the laws of physics stay the same for all observers that are moving with respect to one another within an inertial frame.,Theoretical Physics,Lorentz invariance; spacetime manifold; Lorentz group; special relativity; four-vectors
782,"Identify the correct statement: Which of the following statements accurately describes the impact of Modified Newtonian Dynamics (MOND) on the observed ""missing baryonic mass"" discrepancy in galaxy clusters? among the listed options.",MOND is a framework that reduces the discrepancy between the observed missing baryonic mass in galaxy clusters and the measured velocity dispersions from a factor of around 10 to a factor of about 2.,Astrophysics,Modified Newtonian Dynamics; baryonic mass; velocity dispersions; galaxy clusters
783,Identify the correct statement: Which of the following is an accurate definition of dynamic scaling in self-similar mechanisms? from the following choices.,"Dynamic scaling refers to the evolution of self-similar structures, where data obtained from snapshots at fixed times exhibits similarity to the respective data taken from snapshots of any earlier or later time. This similarity is tested by a certain time-dependent stochastic variable x.",Statistical Physics,dynamic scaling; self-similar mechanisms; stochastic variables; time-dependent evolution
784,Pick the best possible answer: What is the Peierls bracket in canonical quantization? among the listed options.,The Peierls bracket is a Poisson bracket derived from the action in the canonical quantization approach that converts the quotient algebra into a Poisson algebra.,Theoretical Physics,Peierls bracket; canonical quantization; Poisson algebra; quotient algebra; action principle
785,Pick the best possible answer: Which of the following is an accurate definition of dynamic scaling in self-similar mechanisms? from the following choices.,"Dynamic scaling refers to the evolution of self-similar mechanisms, where data obtained from snapshots at fixed times exhibits similarity to the respective data taken from snapshots of any earlier or later time. This similarity is tested by a certain time-dependent stochastic variable x.",Statistical Physics,dynamic scaling; self-similar mechanisms; stochastic variables; time-dependent evolution
786,Choose the correct answer: What is the identity operation in symmetry groups? based on the given context.,The identity operation leaves the molecule unchanged and forms the identity element in the symmetry group.,Molecular Symmetry,identity operation; symmetry groups; center of mass; inversion center; plane of symmetry
787,Identify the correct statement: What is the isophotal diameter used for in measuring a galaxy's size? from the following choices.,The isophotal diameter is a conventional way of measuring a galaxy's size based on its apparent surface brightness.,Extragalactic Astronomy,isophotal diameter; surface brightness; galactic morphology; observational astronomy
788,What is the term used to describe the conduction that occurs in non-crystalline semiconductors by charges quantum tunnelling from one localised site to another?,Variable range hopping,Solid State Physics,non-crystalline semiconductors; quantum tunnelling; variable range hopping; charge transport
789,Choose the correct answer: Who shared the other half of the Nobel Prize with Yoichiro Nambu for discovering the origin of the explicit breaking of CP symmetry in the weak interactions?,Makoto Kobayashi and Toshihide Maskawa,Particle Physics,CP symmetry; weak interactions; Kobayashi-Maskawa matrix; Standard Model
790,Which of the following is correct? How many crystallographic point groups are there in three-dimensional space? based on the given context.,32,Crystallography,crystallographic point groups; three-dimensional space; symmetry operations; crystal systems
791,"Which of the following is correct? What is the concept of simultaneity in Einstein's book, Relativity? carefully.","Simultaneity is relative, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame need not be judged as simultaneous by a second observer in a different inertial frame of reference.",Theoretical Physics,relativity of simultaneity; inertial reference frame; special relativity; spacetime physics
792,What is the difference between illuminance and luminance?,"Illuminance is the amount of light falling on a surface per unit area, while luminance is the amount of light emitted by a source per unit area.",Photometry,illuminance; luminance; luminous flux; surface reflectance; solid angle
793,Choose the correct answer: What is the main factor that determines the occurrence of each type of supernova? carefully.,The progenitor star's metallicity,Astrophysics,supernova types; progenitor star; stellar metallicity; stellar evolution
794,Pick the best possible answer: What are the two main factors that cause resistance in a metal?,"The amount of resistance in a metal is mainly caused by the temperature and the purity of the metal. Higher temperatures cause bigger vibrations, and a mixture of different ions acts as an irregularity.",Materials Science,electrical resistance; lattice vibrations; metallic purity; ionic irregularities
795,Which of the following is correct? What is the Ozma Problem? carefully.,"The Ozma Problem is a conundrum that examines whether there is any fundamental asymmetry to the universe. It concerns various aspects of atomic and subatomic physics and how they relate to mirror asymmetry and the related concepts of chirality, antimatter, magnetic and electrical polarity, parity, charge and spin.",Theoretical Physics,Ozma Problem; chirality; mirror asymmetry; parity; time invariance
796,Identify the correct statement: What is the 'reactive Leidenfrost effect' observed in non-volatile materials? among the listed options.,"The 'reactive Leidenfrost effect' is a phenomenon where solid particles float above hot surfaces and move erratically, observed in non-volatile materials.",Thermodynamics,reactive Leidenfrost effect; non-volatile materials; surface phenomena; particle dynamics
797,Pick the best possible answer: What did Newton adopt after his correspondence with Hooke in 1679-1680?,The language of inward or centripetal force.,History Of Science,Isaac Newton; Robert Hooke; centripetal force; gravitational theory; scientific correspondence
798,Identify the correct statement: What is bollard pull primarily used for measuring? from the following choices.,The strength of tugboats,Marine Engineering,bollard pull; maritime propulsion; tugboat performance; towing capacity
799,Determine the correct option: What is the main advantage of ferroelectric memristors? based on the given context.,"Ferroelectric domain dynamics can be tuned, allowing for the engineering of memristor response, and resistance variations are due to purely electronic phenomena, making the device more reliable.",Neuromorphic Engineering,ferroelectric memristors; domain dynamics; piezoelectric field; non-uniform elastic strain; switching mechanism
800,Pick the best possible answer: What is the purpose of measuring the Larmor precession fields at about 100 microtesla with highly sensitive superconducting quantum interference devices (SQUIDs) in ultra-low field MRI? carefully.,"To obtain sufficient signal quality in the microtesla-to-millitesla range, where MRI has been demonstrated recently.",Magnetic Resonance Imaging,Larmor precession; superconducting quantum interference devices; ultra-low field MRI; T1 relaxation; magnetization measurement
801,Pick the best possible answer: What was the aim of the Gravity Probe B (GP-B) mission? carefully.,"To measure spacetime curvature near Earth, with particular emphasis on gravitomagnetism.",General Relativity,Gravity Probe B; gravitomagnetism; spacetime curvature; de Sitter precession; geodetic effect
802,Identify the correct statement: What is the mechanism of FTIR? from the following choices.,"The mechanism of FTIR is called evanescent-wave coupling, which is a good analog to visualize quantum tunneling.",Analytical Chemistry,FTIR; evanescent-wave coupling; quantum tunneling; frustrated TIR; total internal reflection microscopy
803,Choose the correct answer: What is the Kelvin-Helmholtz instability and how does it affect Earth's magnetosphere? among the listed options.,"The Kelvin-Helmholtz instability is a phenomenon that occurs when large swirls of plasma travel along the edge of the magnetosphere at a different velocity from the magnetosphere, causing the plasma to slip past. This results in magnetic reconnection, and as the magnetic field lines break and reconnect, solar wind particles are able to enter the magnetosphere.",Space Physics,Kelvin-Helmholtz instability; magnetosphere; magnetic reconnection; solar wind; plasma dynamics
804,Identify the correct statement: What is the Einstein@Home project? from the following choices.,The Einstein@Home project is a distributed computing project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,Astrophysics,Einstein@Home; gravitational waves; distributed computing; LIGO; binary black holes
805,Identify the correct statement: How many crystallographic point groups are there in three-dimensional space? among the listed options.,32,Crystallography,crystallographic point groups; three-dimensional space; symmetry operations; crystal systems
806,"Determine the correct option: Which of the following statements accurately describes the impact of Modified Newtonian Dynamics (MOND) on the observed ""missing baryonic mass"" discrepancy in galaxy clusters? based on the given context.",MOND is a concept that reduces the discrepancy between the observed missing baryonic mass in galaxy clusters and the measured velocity dispersions from a factor of around 10 to a factor of about 2.,Astrophysics,Modified Newtonian Dynamics; baryonic mass; velocity dispersions; galaxy clusters
807,Pick the best possible answer: What is a pycnometer?,A device used to determine the density of a liquid.,Analytical Chemistry,pycnometer; density measurement; volumetric analysis; fluid properties
808,Which of the following is correct? What is the Maxwell's Demon thought experiment? carefully.,"A thought experiment in which a demon guards a microscopic trapdoor in a wall separating two parts of a container filled with the same gas at equal temperatures. The demon selectively allows faster-than-average molecules to pass from one side to the other, causing a minimize in temperature in one part and an enhance in temperature in the other, contrary to the second law of thermodynamics.",Thermodynamics,Maxwell's Demon; second law of thermodynamics; statistical mechanics; entropy; kinetic theory
809,Pick the best possible answer: What happens to an initially inhomogeneous physical structure that is isolated by a thermodynamic operation? carefully.,It will generally change its internal state over time.,Thermodynamics,inhomogeneous physical structure; thermodynamic operation; internal state; substructures; equilibrium dynamics
810,"Choose the correct answer: What is the concept of simultaneity in Einstein's book, Relativity? among the listed options.","Simultaneity is relative, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame need not be judged as simultaneous by a second observer in a different inertial frame of reference.",Theoretical Physics,relativity of simultaneity; inertial reference frame; special relativity; spacetime physics
811,Choose the correct answer: What is the SI unit of the physical quantity m/Q? among the listed options.,Kilogram per coulomb,Physics Units,SI units; physical quantities; dimensional analysis; unit conversion
812,Identify the correct statement: What is the term used to describe the conduction that occurs in non-crystalline semiconductors by charges quantum tunnelling from one localised site to another? among the listed options.,Variable range hopping,Solid State Physics,non-crystalline semiconductors; quantum tunnelling; variable range hopping; charge transport
813,Which of the following is correct? What is the SI base unit of time and how is it defined? based on the given context.,"The SI base unit of time is the second, which is defined by measuring the electronic transition frequency of caesium atoms.",Metrology,SI base units; caesium atom transition; time measurement; international system units
814,Identify the correct statement: What is explicit symmetry breaking in theoretical physics? carefully.,"Explicit symmetry breaking is the breaking of a symmetry of a principle by terms in its defining equations of motion that do not respect the symmetry, usually in situations where these symmetry-breaking terms are small, so that the symmetry is approximately respected by the principle.",Theoretical Physics,explicit symmetry breaking; equations of motion; symmetry principles; theoretical mechanics
815,Select the most accurate option: What is the 'reactive Leidenfrost effect' observed in non-volatile materials? from the following choices.,"The 'reactive Leidenfrost effect' is a phenomenon where solid particles float above hot surfaces and move erratically, observed in non-volatile materials.",Thermodynamics,reactive Leidenfrost effect; non-volatile materials; surface phenomena; particle dynamics
816,Select the most accurate option: What is Lorentz symmetry or Lorentz invariance in relativistic physics? based on the given context.,Lorentz symmetry or Lorentz invariance is an equivalence of observation or observational symmetry due to special relativity implying that the laws of physics stay the same for all observers that are moving with respect to one another within an inertial frame.,Theoretical Physics,Lorentz invariance; spacetime manifold; Lorentz group; boost velocity; special relativity
817,Determine the correct option: What is the Penrose process? among the listed options.,"The Penrose process is a mechanism through which objects can emerge from the ergosphere with more energy than they entered with, taking extra energy from the rotational energy of the black hole and slowing down its rotation.",Astrophysics,Penrose process; ergosphere; rotational energy; black hole dynamics
818,Select the most accurate option: What is the definition of an improper rotation? based on the given context.,"An improper rotation is the combination of a rotation about an axis and reflection in a plane perpendicular to that axis, or inversion about a point on the axis. The order of the rotation and reflection does not matter, and the symmetry elements for improper rotation are the rotation axis, and either the mirror plane, the inversion point, or both.",Crystallography,improper rotation; symmetry elements; mirror plane; inversion point; rotation axis
819,Choose the correct answer: What is the relationship between dielectric loss and the transparency of a material? from the following choices.,"Dielectric loss in a material can cause absorption, which can reduce the material's transparency at higher frequencies.",Materials Science,dielectric loss; material transparency; electromagnetic absorption; high-frequency optics
820,Choose the correct answer: What is the role of axioms in a formal principle? from the following choices.,"Basis statements called axioms form the foundation of a formal principle and, together with the deducing rules, help in deriving a set of statements called theorems using proof principle.",Formal Logic,axioms; formal principle; proof principle; theorem derivation; deductive rules
821,Determine the correct option: What is a phageome? carefully.,"A community of bacteriophages and their metagenomes localized in a particular environment, similar to a microbiome.",Microbial Ecology,phageome; metagenomics; bacteriophages; microbial communities
822,Select the most accurate option: Which of the following statements accurately describes the blocking temperature of an antiferromagnetic layer in a spin valve? carefully.,The blocking temperature of an antiferromagnetic layer in a spin valve is the temperature at or above which the layer ceases to prevent the orientation of an adjacent ferromagnetic layer. The blocking temperature is typically lower than the Néel temperature.,Spintronics,antiferromagnetic layer; spin valve; blocking temperature; Néel temperature; magnetic pinning
823,Which of the following is correct? What are permutation-inversion groups? from the following choices.,"Permutation-inversion groups are groups of symmetry operations that are energetically feasible permutations of identical nuclei or inversion with respect to the center of mass, or a combination of both.",Molecular Symmetry,permutation-inversion groups; symmetry operations; center of mass; identical nuclei; molecular rotation
824,Determine the correct option: What is the purpose of the proximity-focusing design in a RICH detector?,"To emit a cone of Cherenkov light that traverses a small distance and is detected on the photon detector plane, creating a ring of light whose radius is defined by the Cherenkov emission angle and the proximity gap.",Particle Physics,RICH detector; proximity-focusing; Cherenkov emission; photon detector plane
825,"Pick the best possible answer: Which hand should be used to apply the right-hand rule when tightening or loosening nuts, screws, bolts, bottle caps, and jar lids? from the following choices.",The right hand,Mechanical Engineering,right-hand rule; torque application; fastener mechanics; mechanical assembly
826,Which of the following is correct? What happens to excess base metal as a solution cools from the upper transformation temperature towards an insoluble state?,"The excess base metal will often crystallize-out, becoming the proeutectoid until the remaining concentration of solutes reaches the eutectoid level, which will then crystallize as a separate microstructure.",Materials Science,proeutectoid; eutectoid level; phase transformation; solidification; microstructure
827,Identify the correct statement: What is a Schwarzschild black hole? among the listed options.,"A black hole that has mass but neither electric charge nor angular momentum, and is spherically symmetric, according to Birkhoff's theorem.",General Relativity,Schwarzschild black hole; Birkhoff's theorem; angular momentum; spherical symmetry
828,Which of the following is correct? What is a magnetic monopole in particle physics? based on the given context.,"A hypothetical elementary particle that is an isolated magnet with only one magnetic pole, either a north pole or a south pole.",Particle Physics,magnetic monopole; elementary particle; isolated magnetic pole; electromagnetism
829,What are coherent turbulent structures?,"Coherent turbulent structures are more elementary components of complex multi-scale and chaotic motions in turbulent flows, which have temporal coherence and persist in their form for long enough periods that the methods of time-averaged statistics can be applied.",Fluid Dynamics,coherent turbulent structures; multi-scale motions; temporal coherence; time-averaged statistics
830,Select the most accurate option: What are the four qualitative levels of crystallinity described by geologists? carefully.,"Holocrystalline, hypocrystalline, hypohyaline, and holohyaline",Geology,crystallinity levels; holocrystalline; hypocrystalline; hypercrystalline; hyperhyaline
831,Pick the best possible answer: What is the De Haas-Van Alphen effect? carefully.,"The oscillation of the differential susceptibility as a function of 1/H in metals under strong magnetic fields, which relates the period of the susceptibility with the Fermi surface of the material.",Condensed Matter Physics,De Haas-Van Alphen effect; differential susceptibility; Fermi surface; magnetic fields; magnetization
832,Identify the correct statement: What are the four qualitative levels of crystallinity described by geologists? based on the given context.,"Holocrystalline, hypocrystalline, hypohyaline, and holohyaline",Geology,crystallinity levels; holocrystalline; hypocrystalline; hypercrystalline; hyperhyaline
833,"Select the most accurate option: Who proposed the principle of ""complexity from noise"" and when was it first introduced? among the listed options.",Henri Atlan in 1972,Complexity Theory,complexity from noise; non-equilibrium thermodynamics; Ilya Prigogine; dissipative structures
834,Determine the correct option: What is the Einstein@Home project? among the listed options.,The Einstein@Home project is a distributed computing project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,Astrophysics,gravitational waves; distributed computing; binary black holes; LIGO; parallel analysis
835,Which of the following is correct? What are the two main factors that cause resistance in a metal? carefully.,"The amount of resistance in a metal is mainly caused by the temperature and the purity of the metal. Higher temperatures cause bigger vibrations, and a mixture of different ions acts as an irregularity.",Materials Science,electrical resistance; lattice vibrations; metallic purity; ionic irregularities
836,Choose the correct answer: What is the main focus of the Environmental Science Center at Qatar University? among the listed options.,"Environmental studies, with a main focus on marine science, atmospheric and biological sciences.",Environmental Science,marine science; atmospheric sciences; biological sciences; environmental studies
837,Identify the correct statement: What is the Ramsauer-Townsend effect? from the following choices.,The Ramsauer-Townsend effect is a physical phenomenon that involves the scattering of low-energy electrons by atoms of a noble gas. It requires the wave framework of quantum mechanics to be explained.,Quantum Mechanics,Ramsauer-Townsend effect; electron scattering; noble gas; wave framework; quantum mechanics
838,Select the most accurate option: What is the relationship between the Cauchy momentum equation and the Navier-Stokes equation? from the following choices.,"The Navier-Stokes equation can be derived from the Cauchy momentum equation by specifying the stress tensor through a constitutive relation, expressing the shear tensor in terms of viscosity and fluid velocity, and assuming constant density and viscosity.",Fluid Dynamics,Cauchy momentum equation; Navier-Stokes equation; constitutive relation; stress tensor; fluid mechanics
839,Which of the following is correct? What is the order parameter that breaks the electromagnetic gauge symmetry in superconductors? carefully.,A condensed-matter collective field ψ.,Condensed Matter Physics,order parameter; electromagnetic gauge symmetry; superconductors; collective field
840,Determine the correct option: What is a virtual particle? among the listed options.,A particle that is not directly observable but is inferred from its effects on measurable particles.,Quantum Physics,virtual particles; quantum field theory; particle physics; observable effects
841,Identify the correct statement: Who was Giordano Bruno? based on the given context.,An Italian philosopher who supported the Copernican principle that Earth and other planets orbit the Sun and believed that fixed stars are similar to the Sun and have planets orbiting them.,History Of Science,Giordano Bruno; Copernican principle; heliocentrism; astronomical philosophy
842,Determine the correct option: What is the role of the Higgs boson in the Standard Model? carefully.,"The Higgs boson is responsible for giving mass to all the elementary particles, except the photon and gluon, in the Standard Model.",Particle Physics,Higgs boson; Standard Model; elementary particles; mass generation; gauge bosons
843,Pick the best possible answer: What is the SI base unit of time and how is it defined? from the following choices.,"The SI base unit of time is the second, which is defined by measuring the electronic transition frequency of caesium atoms.",Metrology,SI base units; caesium frequency standard; time measurement; international system of units
844,Identify the correct statement: Who shared the other half of the Nobel Prize with Yoichiro Nambu for discovering the origin of the explicit breaking of CP symmetry in the weak interactions? among the listed options.,Makoto Kobayashi and Toshihide Maskawa,Particle Physics,CP symmetry; weak interactions; Kobayashi-Maskawa matrix; Standard Model
845,Choose the correct answer: What is radiometric dating? based on the given context.,"Radiometric dating is a approach of measuring geological time using radioactive decay, discovered in the early 20th century.",Geochronology,radiometric dating; radioactive decay; geological time; isotope analysis
846,"Determine the correct option: What is the purpose of expressing a map's scale as a ratio, such as 1:10,000? from the following choices.",To indicate the relationship between the size of the map and the size of the area being represented.,Cartography,map scale; representative fraction; spatial representation; geographic projection
847,"Identify the correct statement: What are amorphous ferromagnetic metallic alloys, and what are their advantages?","Amorphous ferromagnetic metallic alloys are non-crystalline alloys that can be made by rapidly cooling a liquid alloy. Their properties are nearly isotropic, resulting in low coercivity, low hysteresis loss, high permeability, and high electrical resistivity.",Materials Science,amorphous ferromagnetic metallic alloys; non-crystalline alloys; coercivity; hysteresis loss; electrical resistivity
848,"Determine the correct option: What is the butterfly effect, as defined by Lorenz in his book ""The Essence of Chaos""? based on the given context.","The butterfly effect is the phenomenon that a small change in the initial conditions of a dynamical structure can cause significant distinctions in subsequent states, as defined by Lorenz in his book ""The Essence of Chaos.""",Chaos Theory,butterfly effect; initial conditions; dynamical systems; sensitive dependence
849,Choose the correct answer: What is Modified Newtonian Dynamics (MOND)? based on the given context.,MOND is a hypothesis that proposes a modification of Newton's law of universal gravitation to account for observed properties of galaxies. It is an alternative to the hypothesis of dark matter in terms of explaining why galaxies do not appear to obey the currently understood laws of physics.,Astrophysics,Modified Newtonian Dynamics; dark matter; universal gravitation; general relativity
850,Choose the correct answer: What is a Hilbert space in quantum mechanics?,A complex vector space where the state of a quantum mechanical mechanism is described by a vector |Ψ⟩.,Quantum Mechanics,Hilbert space; complex vector space; state vector; quantum mechanical mechanism
851,"Identify the correct statement: Which of the following statements accurately depicts the relationship between Gauss's law, electric flux, electric field, and symmetry in electric fields? among the listed options.","Gauss's law holds in all cases, but it is most useful for calculations involving symmetric electric fields, like those with spherical or cylindrical symmetry, as they allow for simpler algebraic manipulations. Electric flux is not affected by distant charges outside the closed surface, whereas the net electric field, E, can be influenced by any charges positioned outside of the closed surface. In SI base units, the electric flux is expressed as kg·m3·s−3·A−1.",Electromagnetism,Gauss's law; electric flux; spherical symmetry; cylindrical symmetry; closed surface
852,Choose the correct answer: Which of the following statements accurately describes the dimension of an object in a CW complex? from the following choices.,"The dimension of an object in a CW complex is the largest n for which the n-skeleton is nontrivial, where the empty set is considered to have dimension -1 and the boundary of a discrete set of points is the empty set.",Algebraic Topology,CW complex; n-skeleton; critical points; cell complex; dimension theory
853,Select the most accurate option: What is the Kutta condition? carefully.,"The Kutta condition is a physical requirement that the fluid moving along the lower and upper surfaces of an airfoil meet smoothly, with no fluid moving around the trailing edge of the airfoil.",Fluid Dynamics,Kutta condition; airfoil aerodynamics; circulation; Kutta-Joukowski theorem
854,Determine the correct option: What is the Penrose process?,"The Penrose process is a mechanism through which objects can emerge from the ergosphere with more energy than they entered with, taking extra energy from the rotational energy of the black hole and slowing down its rotation.",Astrophysics,Penrose process; ergosphere; rotational energy; black hole dynamics
855,Pick the best possible answer: What was Pierre de Fermat's solution to the problem of refraction?,"Fermat supposed that light took the path of least resistance, and that different media offered different resistances. His eventual solution, described in a letter to La Chambre dated 1 January 1662, construed ""resistance"" as inversely proportional to speed, so that light took the path of least time. That premise yielded the ordinary law of refraction, provided that light traveled more slowly in the optically denser medium.",Optics,Fermat's principle; law of refraction; principle of least time; optical density
856,Choose the correct answer: What is the reason for the formation of stars exclusively within molecular clouds? from the following choices.,"The low temperatures and high densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.",Astrophysics,stellar formation; molecular clouds; gravitational collapse; hydrostatic equilibrium
857,Identify the correct statement: What is the spin quantum number?,"The spin quantum number is a dimensionless quantity obtained by dividing the spin angular momentum by the reduced Planck constant ħ, which has the same dimensions as angular momentum.",Quantum Mechanics,spin quantum number; angular momentum; reduced Planck constant; elementary particles
858,Which of the following is correct? What is a pycnometer?,A device used to determine the density of a liquid.,Analytical Chemistry,pycnometer; density measurement; volumetric analysis; fluid properties
859,Identify the correct statement: What is the role of methane in Fischer-Tropsch processes? among the listed options.,Methane is partially converted to carbon monoxide for utilization in Fischer-Tropsch processes.,Chemical Engineering,Fischer-Tropsch process; methane conversion; carbon monoxide synthesis; catalytic chemistry
860,Determine the correct option: What is the Kutta condition? among the listed options.,"The Kutta condition is a physical requirement that the fluid moving along the lower and upper surfaces of an airfoil meet smoothly, with no fluid moving around the trailing edge of the airfoil.",Fluid Dynamics,Kutta condition; airfoil aerodynamics; circulation; Kutta-Joukowski theorem
861,Which of the following is correct? What is the Einstein@Home project? from the following choices.,The Einstein@Home project is a distributed computing project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,Astrophysics,Einstein@Home; gravitational waves; distributed computing; LIGO; binary black holes
862,Pick the best possible answer: Which of the following statements accurately describes the dimension of an object in a CW complex?,"The dimension of an object in a CW complex is the largest n for which the n-skeleton is nontrivial, where the empty set is considered to have dimension -1 and the boundary of a discrete set of points is the empty set.",Algebraic Topology,CW complex; n-skeleton; critical points; dimension theory
863,Select the most accurate option: What is a crossover experiment? from the following choices.,"A type of experiment used to distinguish between different mechanisms proposed for a chemical reaction, such as intermolecular vs. intramolecular mechanisms.",Chemical Kinetics,crossover experiment; reaction mechanisms; intermolecular pathways; intramolecular mechanisms
864,Which of the following is correct? What is the second law of thermodynamics?,The second law of thermodynamics is a physical law based on universal experience concerning heat and energy interconversions. It establishes the concept of entropy as a physical property of a thermodynamic framework and can be used to predict whether processes are forbidden despite obeying the requirement of conservation of energy as expressed in the first law of thermodynamics.,Thermodynamics,second law of thermodynamics; heat energy interconversions; internal energy; cyclic process; conservation of energy
865,Choose the correct answer: What is the Liouville density?,The Liouville density is a probability distribution that specifies the probability of finding a particle at a certain position in phase space for a collection of particles.,Quantum Mechanics,Liouville density; phase space; quasiprobability distribution; quantum-mechanical interference
866,Select the most accurate option: What is the proper distance for a redshift of 8.2? among the listed options.,"The proper distance for a redshift of 8.2 is about 9.2 Gpc, or about 30 billion light-years.",Cosmology,proper distance; redshift; gigaparsecs; expansion of the universe
867,Choose the correct answer: What is the information loss paradox in black holes?,"Black holes have only a few internal parameters, so most of the information about the matter that went into forming the black hole is lost. Regardless of the type of matter which goes into a black hole, it appears that only information concerning the total mass, charge, and angular momentum are conserved. As black holes evaporate by emitting Hawking radiation, the information is lost forever.",Theoretical Physics,information loss paradox; Hawking radiation; black hole evaporation; quantum mechanics
868,Identify the correct statement: What did Fresnel predict and verify with regards to total internal reflections? among the listed options.,"Fresnel predicted and verified that four total internal reflections at 68°27' would give a precise circular polarization if two of the reflections had water as the external medium while the other two had air, but not if the reflecting surfaces were all wet or all dry.",Optical Physics,total internal reflection; circular polarization; Fresnel equations; wave optics
869,Select the most accurate option: What is the significance of the redshift-distance relationship in determining the expansion history of the universe? carefully.,"Observations of the redshift-distance relationship can be used to determine the expansion history of the universe and the matter and energy content, especially for distant galaxies whose light has been travelling to us for much longer times.",Cosmology,redshift-distance relationship; expansion history; matter and energy content; galactic observations
870,Identify the correct statement: What is the information loss paradox in black holes? among the listed options.,"Black holes have only a few internal parameters, so most of the information about the matter that went into forming the black hole is lost. Regardless of the type of matter which goes into a black hole, it appears that only information concerning the total mass, charge, and angular momentum are conserved. As black holes evaporate by emitting Hawking radiation, the information is lost forever.",Theoretical Physics,information loss paradox; Hawking radiation; black hole evaporation; quantum mechanics
871,Choose the correct answer: Which mathematical function is commonly used to characterize linear time-invariant frameworks? among the listed options.,Transfer function,Control Systems Engineering,linear time-invariant; transfer function; system dynamics; signal processing
872,Choose the correct answer: What is the significance of the change in slope of the pinched hysteresis curves in ReRAM and other forms of two-terminal resistance memory? from the following choices.,"The change in slope of the pinched hysteresis curves demonstrates switching between different resistance states, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.",Neuromorphic Engineering,ReRAM; pinched hysteresis curves; memristor; resistance memory; two-terminal devices
873,Pick the best possible answer: What is the Liouville density? carefully.,The Liouville density is a probability distribution that specifies the probability of finding a particle at a certain position in phase space for a collection of particles.,Quantum Mechanics,Liouville density; phase space; quasiprobability distribution; quantum-mechanical interference
874,What is the Erlangen program?,"The Erlangen program is a method of characterizing geometries based on group theory and projective geometry, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.",Geometry Theory,Erlangen program; group theory; projective geometry; Felix Klein
875,Which of the following is correct? What is the significance of the discovery of the Crab pulsar? from the following choices.,The discovery of the Crab pulsar confirmed the rotating neutron star model of pulsars.,Astrophysics,Crab pulsar; neutron star model; stellar evolution; compact objects
